date,lat_bin,long_bin,mmsi,fishing_hours
2012-01-03 00:00:00,37,-1699,440517000,1.8481944444444445
2012-01-03 00:00:00,37,-1697,440517000,0.8890277777777779
2012-01-03 00:00:00,37,-1703,440517000,3.823611111111111
2012-01-03 00:00:00,37,-1700,440517000,1.829444444444444
2012-01-03 00:00:00,37,-1693,440517000,2.010416666666667
2012-01-03 00:00:00,37,-1696,440517000,0.9586111111111112
2012-01-03 00:00:00,549,-1648,367033950,9.103055555555555
2012-01-03 00:00:00,549,-1650,367033950,1.5805555555555557
2012-01-03 00:00:00,549,-1649,367033950,14.72625
2012-01-03 00:00:00,558,-1634,369524000,11.545138888888891
2012-01-03 00:00:00,558,-1635,369524000,3.1908333333333334
2012-01-03 00:00:00,558,-1630,303672000,11.540416666666667
2012-01-03 00:00:00,558,-1629,303672000,10.770972222222222
2012-01-03 00:00:00,48,-1600,440787000,1.8872222222222221
2012-01-03 00:00:00,48,-1736,432365000,2.720833333333333
2012-01-03 00:00:00,49,-1724,441043000,0.9804166666666666
2012-01-03 00:00:00,49,-1723,441043000,0.8961111111111112
2012-01-03 00:00:00,49,-1720,441043000,1.4043055555555557
2012-01-03 00:00:00,49,-1718,441043000,0.9177777777777776
2012-01-03 00:00:00,49,-1600,440787000,0.8529166666666667
2012-01-03 00:00:00,49,-1736,432365000,0.9591666666666667
2012-01-03 00:00:00,49,-1735,432365000,0.8431944444444445
2012-01-03 00:00:00,50,-1717,441043000,4.000277777777779
2012-01-03 00:00:00,50,-1725,441043000,1.9577777777777774
2012-01-03 00:00:00,50,-1720,441043000,2.663888888888889
2012-01-03 00:00:00,50,-1722,441043000,1.0393055555555557
2012-01-03 00:00:00,50,-1724,441043000,3.5411111111111113
2012-01-03 00:00:00,50,-1723,441043000,0.7756944444444444
2012-01-03 00:00:00,50,-1721,441043000,2.8659722222222226
2012-01-03 00:00:00,50,-1719,441043000,2.7561111111111107
2012-01-03 00:00:00,50,-1607,440787000,3.202638888888889
2012-01-03 00:00:00,50,-1606,440787000,0.9668055555555554
2012-01-03 00:00:00,50,-1735,432365000,1.8573611111111106
2012-01-03 00:00:00,50,-1728,440620000,1.6873611111111106
2012-01-03 00:00:00,50,-1724,440620000,0.9584722222222223
2012-01-03 00:00:00,50,-1725,440620000,0.8454166666666667
2012-01-03 00:00:00,50,-1729,440620000,1.9458333333333333
2012-01-03 00:00:00,50,-1727,440620000,0.8975
2012-01-03 00:00:00,50,-1722,440620000,0.90125
2012-01-03 00:00:00,50,-1723,440620000,1.8459722222222221
2012-01-03 00:00:00,-462,-607,416659000,4.00875
2012-01-03 00:00:00,-462,672,618000500,0.786111111111111
2012-01-03 00:00:00,-462,-607,416046800,9.896805555555554
2012-01-03 00:00:00,51,-1735,432365000,0.9377777777777778
2012-01-03 00:00:00,51,-1727,440620000,3.722083333333334
